,altitude,date_time,device_info_serial,direction,latitude,longitude,speed_2d
3130,720,2013-09-21 14:11:55+00,851,130.223123,50.0932719,2.5971265,4.718686258
3131,889,2013-09-21 14:26:54+00,851,-65.43171612,50.0931315,2.5951637,1.151564154
3132,457,2013-09-21 14:41:53+00,851,121.4538725,50.095954,2.5934539,4.653525545
3133,140,2013-09-21 14:56:52+00,851,-56.90939308,50.0951592,2.5935677,1.032327467
3134,141,2013-09-21 15:11:57+00,851,-77.35632139,50.0949812,2.593024,0.210950231
3135,143,2013-09-21 15:26:56+00,851,134.7246682,50.0922242,2.5944835,3.730013405
3136,125,2013-09-21 15:42:02+00,851,-78.02447949,50.0921961,2.5945693,2.577925523
3137,82,2013-09-21 15:57:15+00,851,140.6385965,50.0918832,2.5946313,5.292504133
3138,137,2013-09-21 16:12:38+00,851,-106.7544689,50.0922481,2.5943805,0.094339811
3139,141,2013-09-21 16:27:41+00,851,-134.6634059,50.0900791,2.6090936,0.393573373
3140,139,2013-09-21 16:42:35+00,851,71.86977642,50.0900889,2.6091491,1.386217876
3141,128,2013-09-21 16:57:31+00,851,82.51023533,50.0930501,2.6045916,0.152970585
3142,130,2013-09-21 17:12:27+00,851,-87.91885005,50.0930447,2.604296,2.493932637
3143,132,2013-09-21 17:27:26+00,851,-131.6344601,50.0928773,2.6044911,3.467116958
3144,129,2013-09-21 17:42:20+00,851,110.283301,50.0928633,2.6045159,0.616116872
3145,128,2013-09-21 17:57:16+00,851,-179.1687448,50.092872,2.6044568,0.04472136
3146,230,2013-09-21 18:12:14+00,851,25.57106219,50.1654026,2.6890488,14.81793508
3147,128,2013-09-21 18:27:35+00,851,-47.27213678,50.165858,2.7019474,0.210950231
3148,115,2013-09-21 18:42:55+00,851,159.434032,50.1928437,2.7316538,1.897893569
3149,95,2013-09-21 18:57:58+00,851,16.86986481,50.1917778,2.7310933,2.300782476
3150,86,2013-09-21 19:13:02+00,851,-97.80921242,50.1916985,2.7310565,2.743228026
3151,102,2013-09-21 19:27:55+00,851,-24.01958698,50.1916314,2.7312054,0.31144823
3152,107,2013-09-21 19:42:54+00,851,-129.6001595,50.1915822,2.731213,1.115168149
3153,100,2013-09-21 19:57:55+00,851,-48.61730663,50.1915851,2.7312112,1.469863939
3154,112,2013-09-21 20:12:57+00,851,-24.70449988,50.1915061,2.7314236,0.265706605
3155,63,2013-09-21 20:28:13+00,851,-23.588645,50.1917272,2.73128,2.321120419
3156,105,2013-09-21 20:43:39+00,851,-143.120501,50.1913255,2.7312834,0.12083046
3157,99,2013-09-21 20:58:36+00,851,-40.61035077,50.1913665,2.7312599,2.383715587
3158,103,2013-09-21 21:28:29+00,851,-18.7230557,50.1912931,2.7312706,1.781010949
3159,102,2013-09-21 21:58:22+00,851,-75.98364949,50.1913077,2.7312719,2.397936613
3160,118,2013-09-21 22:28:13+00,851,-60.84987951,50.1912544,2.7313943,0.559732079
3161,109,2013-09-21 22:58:05+00,851,164.214788,50.191295,2.7313139,0.056568542
3162,106,2013-09-21 23:27:58+00,851,-57.40195088,50.191244,2.7312724,0.266270539
3163,103,2013-09-21 23:57:49+00,851,-47.43282674,50.1912615,2.7312037,4.058792924
3164,109,2013-09-22 00:29:03+00,851,19.3142655,50.192412,2.7310782,0.333766385
3165,113,2013-09-22 00:59:05+00,851,-27.30290507,50.1923657,2.7311855,0.177200451
3166,109,2013-09-22 01:29:00+00,851,-95.01183898,50.1925265,2.7306536,0.25
3167,106,2013-09-22 01:59:25+00,851,-82.21574504,50.1924051,2.7304092,0.449221549
3168,105,2013-09-22 02:29:39+00,851,-0.606576932,50.1923295,2.7305058,0.190262976
3169,101,2013-09-22 02:59:24+00,851,-132.0934017,50.1922928,2.7304749,0.520384473
3170,103,2013-09-22 03:14:20+00,851,-119.7653315,50.1922901,2.7304594,0.943398113
3171,101,2013-09-22 03:29:16+00,851,-93.85384728,50.1922406,2.7305441,1.059481005
3172,95,2013-09-22 03:44:12+00,851,179.771867,50.1920865,2.7305337,5.428296234
3173,105,2013-09-22 03:59:08+00,851,-89.39232199,50.1923173,2.7304954,2.179541236
3174,111,2013-09-22 04:14:07+00,851,-62.65926952,50.1923353,2.730451,2.201454065
3175,105,2013-09-22 04:29:00+00,851,36.11930555,50.1922495,2.7306531,2.357159307
3176,108,2013-09-22 04:43:56+00,851,-47.43369446,50.1915467,2.7313605,0.310483494
